Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,997.76001,1000.900024,937.570007,988.02002,000,988.02002
2016-01-25,961.320007,1012.469971,920.580017,1012.090027,000,1012.090027
2016-01-19,952.97998,973.309998,868.469971,967.919983,000,967.919983
2016-01-11,984.969971,986.349976,927.090027,944.219971,000,944.219971
2016-01-04,1067.530029,1075.140015,979.02002,980.559998,000,980.559998
2015-12-28,1091.27002,1100.50,1063.849976,1072.709961,000,1072.709961
2015-12-21,1061.569946,1115.430054,1044.689941,1106.579956,000,1106.579956
2015-12-14,1059.609985,1099.98999,1045.579956,1056.50,000,1056.50
2015-12-07,1131.959961,1131.959961,1062.47998,1065.319946,000,1065.319946
2015-11-30,1193.439941,1205.209961,1129.22998,1148.530029,000,1148.530029
2015-11-23,1173.930054,1215.23999,1170.040039,1189.609985,000,1189.609985
2015-11-16,1159.77002,1200.329956,1155.079956,1177.869995,000,1177.869995
2015-11-09,1227.650024,1240.75,1146.670044,1160.699951,000,1160.699951
2015-11-02,1191.130005,1262.699951,1188.380005,1230.73999,000,1230.73999
2015-10-26,1196.119995,1209.380005,1147.75,1196.099976,000,1196.099976
2015-10-19,1218.829956,1218.829956,1175.530029,1201.930054,000,1201.930054
2015-10-12,1212.339966,1225.589966,1181.02002,1223.160034,000,1223.160034
2015-10-05,1119.430054,1224.130005,1119.430054,1209.939941,000,1209.939941
2015-09-28,1051.800049,1109.119995,1023.340027,1108.670044,000,1108.670044
2015-09-21,1088.680054,1094.310059,1042.680054,1062.689941,000,1062.689941
2015-09-14,1086.349976,1133.589966,1069.51001,1082.75,000,1082.75
2015-09-08,1098.689941,1131.640015,1073.26001,1086.349976,000,1086.349976
2015-08-31,1126.579956,1147.300049,1081.069946,1085.810059,000,1085.810059
2015-08-24,1031.040039,1143.77002,1015.169983,1132.219971,000,1132.219971
2015-08-17,1205.530029,1212.72998,1103.180054,1103.180054,000,1103.180054
2015-08-10,1176.329956,1235.869995,1176.329956,1209.040039,000,1209.040039
2015-08-03,1204.449951,1206.829956,1167.060059,1173.400024,000,1173.400024
2015-07-27,1191.150024,1237.349976,1172.76001,1211.560059,000,1211.560059
2015-07-20,1257.329956,1257.329956,1197.329956,1202.680054,000,1202.680054
2015-07-13,1280.800049,1292.880005,1255.97998,1262.579956,000,1262.579956
2015-07-06,1279.630005,1289.780029,1248.420044,1273.880005,000,1273.880005
2015-06-29,1309.900024,1313.73999,1286.02002,1296.640015,000,1296.640015
2015-06-22,1327.48999,1346.72998,1315.160034,1327.060059,000,1327.060059
2015-06-15,1317.189941,1337.97998,1310.719971,1319.51001,000,1319.51001
2015-06-08,1325.72998,1347.030029,1315.390015,1325.410034,000,1325.410034
2015-06-01,1340.75,1349.329956,1309.819946,1325.72998,000,1325.72998
2015-05-26,1359.599976,1359.699951,1328.569946,1340.01001,000,1340.01001
2015-05-18,1378.410034,1379.689941,1358.130005,1370.550049,000,1370.550049
2015-05-11,1404.050049,1404.52002,1368.560059,1382.22998,000,1382.22998
2015-05-04,1433.839966,1442.800049,1379.089966,1409.920044,000,1409.920044
2015-04-27,1432.369995,1444.819946,1420.430054,1433.410034,000,1433.410034
2015-04-20,1424.869995,1439.27002,1409.969971,1426.180054,000,1426.180054
2015-04-13,1398.150024,1444.619995,1375.050049,1423.00,000,1423.00
2015-04-06,1344.26001,1394.619995,1340.670044,1394.469971,000,1394.469971
2015-03-30,1324.349976,1349.48999,1324.349976,1335.900024,000,1335.900024
2015-03-23,1334.48999,1347.699951,1313.939941,1316.77002,000,1316.77002
2015-03-16,1269.859985,1336.920044,1264.709961,1329.170044,000,1329.170044
2015-03-09,1314.849976,1330.369995,1258.50,1273.579956,000,1273.579956
2015-03-02,1370.939941,1370.939941,1311.73999,1314.359985,000,1314.359985
2015-02-23,1380.160034,1399.390015,1373.77002,1376.310059,000,1376.310059
2015-02-17,1410.77002,1420.170044,1364.98999,1388.959961,000,1388.959961
2015-02-09,1376.060059,1415.640015,1351.359985,1415.140015,000,1415.140015
2015-02-02,1317.839966,1390.050049,1313.380005,1372.319946,000,1372.319946
2015-01-26,1321.130005,1342.430054,1268.449951,1303.98999,000,1303.98999
2015-01-20,1275.130005,1331.680054,1259.150024,1319.030029,000,1319.030029
2015-01-12,1296.119995,1296.119995,1218.75,1281.47998,000,1281.47998
2015-01-05,1336.73999,1336.73999,1261.26001,1302.369995,000,1302.369995
2014-12-29,1369.280029,1378.48999,1333.369995,1349.839966,000,1349.839966
