Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,2896.27002,2923.120117,2650.01001,2799.080078,000,2799.080078
2016-01-25,3176.870117,3242.399902,2832.070068,2898.72998,000,2898.72998
2016-01-19,3248.419922,3255.02002,2995.110107,3204.790039,000,3204.790039
2016-01-11,3443.76001,3449.169922,3079.219971,3204.52002,000,3204.52002
2016-01-04,3735.310059,3751.310059,3430.699951,3437.100098,000,3437.100098
2015-12-28,3815.560059,3875.01001,3783.51001,3813.959961,000,3813.959961
2015-12-21,3715.110107,3833.350098,3682.879883,3820.620117,000,3820.620117
2015-12-14,3569.850098,3790.310059,3499.48999,3694.149902,000,3694.149902
2015-12-07,3738.189941,3738.189941,3566.030029,3569.850098,000,3569.850098
2015-11-30,3844.300049,3856.340088,3650.100098,3763.129883,000,3763.129883
2015-11-23,3747.76001,3851.679932,3741.780029,3842.110107,000,3842.110107
2015-11-16,3618.77002,3795.350098,3573.560059,3741.080078,000,3741.080078
2015-11-09,3627.919922,3756.379883,3567.149902,3626.169922,000,3626.169922
2015-11-02,3572.100098,3749.439941,3567.159912,3674.399902,000,3674.399902
2015-10-26,3426.469971,3634.050049,3394.800049,3519.919922,000,3519.919922
2015-10-19,3454.209961,3524.600098,3244.77002,3433.540039,000,3433.540039
2015-10-12,3470.879883,3498.50,3306.290039,3457.429932,000,3457.429932
2015-10-05,3589.949951,3615.330078,3247.959961,3450.320068,000,3450.320068
2015-09-28,3508.889893,3542.040039,3273.370117,3541.97998,000,3541.97998
2015-09-21,4021.679932,4027.060059,3469.73999,3533.050049,000,3533.050049
2015-09-14,3953.389893,4102.459961,3898.840088,3994.98999,000,3994.98999
2015-09-08,3825.810059,3953.389893,3802.310059,3953.389893,000,3953.389893
2015-08-31,3901.330078,3932.850098,3682.469971,3755.209961,000,3755.209961
2015-08-24,3446.810059,3909.27002,3412.610107,3908.00,000,3908.00
2015-08-17,4015.409912,4140.819824,3765.77002,3765.77002,000,3765.77002
2015-08-10,4089.379883,4159.600098,3964.01001,4029.969971,000,4029.969971
2015-08-03,4274.970215,4338.720215,3984.75,4060.77002,000,4060.77002
2015-07-27,4198.629883,4297.549805,4124.850098,4262.240234,000,4262.240234
2015-07-20,4455.890137,4457.390137,4218.009766,4221.899902,000,4221.899902
2015-07-13,4210.089844,4435.399902,4204.799805,4431.870117,000,4431.870117
2015-07-06,4108.870117,4204.450195,4043.26001,4174.680176,000,4174.680176
2015-06-29,4149.830078,4230.649902,4083.639893,4142.609863,000,4142.609863
2015-06-22,4251.839844,4326.200195,4176.22998,4212.879883,000,4212.879883
2015-06-15,4050.47998,4238.310059,3995.360107,4222.620117,000,4222.620117
2015-06-08,4134.040039,4151.180176,4028.090088,4077.189941,000,4077.189941
2015-06-01,4163.100098,4175.990234,4048.419922,4134.040039,000,4134.040039
2015-05-26,4144.50,4190.919922,4100.720215,4155.950195,000,4155.950195
2015-05-18,4033.790039,4179.149902,4024.090088,4161.22998,000,4161.22998
2015-05-11,3992.699951,4053.27002,3935.649902,4039.00,000,4039.00
