Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,150.130005,151.470001,140.350006,144.910004,000,144.910004
2016-01-25,150.759995,152.710007,146.910004,150.919998,000,150.919998
2016-01-19,154.970001,155.509995,145.100006,151.389999,000,151.389999
2016-01-11,162.089996,162.929993,150.320007,153.00,000,153.00
2016-01-04,176.360001,176.360001,160.990005,161.210007,000,161.210007
2015-12-28,179.25,181.710007,177.699997,178.089996,000,178.089996
2015-12-21,174.779999,180.669998,173.509995,179.649994,000,179.649994
2015-12-14,175.270004,182.149994,172.759995,173.960007,000,173.960007
2015-12-07,188.740005,188.75,174.529999,174.919998,000,174.919998
2015-11-30,185.940002,189.410004,184.220001,189.190002,000,189.190002
2015-11-23,185.699997,186.440002,181.949997,186.179993,000,186.179993
2015-11-16,179.520004,186.350006,178.25,185.479996,000,185.479996
2015-11-09,187.089996,188.149994,178.910004,179.419998,000,179.419998
2015-11-02,177.089996,187.809998,176.660004,187.289993,000,187.289993
2015-10-26,174.470001,179.649994,171.649994,176.169998,000,176.169998
2015-10-19,170.309998,174.490005,167.570007,174.350006,000,174.350006
2015-10-12,168.339996,171.979996,164.199997,171.710007,000,171.710007
2015-10-05,165.179993,170.50,165.179993,167.979996,000,167.979996
2015-09-28,167.979996,168.00,158.75,164.550003,000,164.550003
2015-09-21,170.25,172.119995,166.410004,169.75,000,169.75
2015-09-14,173.119995,178.300003,168.220001,168.580002,000,168.580002
2015-09-08,172.710007,178.449997,171.100006,173.119995,000,173.119995
2015-08-31,176.059998,177.289993,169.059998,170.190002,000,170.190002
2015-08-24,169.929993,176.949997,161.970001,176.729996,000,176.729996
2015-08-17,188.25,189.520004,175.660004,175.660004,000,175.660004
2015-08-10,191.639999,193.809998,182.910004,189.139999,000,189.139999
2015-08-03,194.300003,196.320007,189.240005,190.610001,000,190.610001
2015-07-27,194.789993,198.229996,192.300003,194.410004,000,194.410004
2015-07-20,202.809998,203.220001,195.910004,196.149994,000,196.149994
2015-07-13,199.899994,202.880005,199.25,202.759995,000,202.759995
2015-07-06,197.440002,199.520004,191.960007,198.289993,000,198.289993
